2026/08/14 00:36:11 web-api listening on :8691
[GIN] 2026/08/14 - 00:36:11 | 200 |       85.25µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/08/14 - 00:36:55 | 200 |  169.846292ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:36:55 | 200 |  194.119375ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:36:55 | 200 |  208.742167ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:36:55 | 200 |  208.844542ms |       127.0.0.1 | GET      "/api/delivery/requirements?pageIndex=1&pageSize=200&programId=2&scope=mine"
[GIN] 2026/08/14 - 00:36:55 | 200 |  118.658708ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:55 | 200 |   317.43725ms |       127.0.0.1 | GET      "/api/delivery/board?programId=2&groupBy=status&phase=requirement"
[GIN] 2026/08/14 - 00:36:55 | 200 |  110.440625ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:36:55 | 200 |  127.205416ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:36:55 | 200 |  169.831166ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:36:55 | 200 |   80.206292ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:55 | 200 |      86.605ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:55 | 200 |  102.815458ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:36:56 | 200 |  129.327792ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:36:56 | 200 |   164.63575ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:36:57 | 200 |    96.07225ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:57 | 200 |  183.575042ms |       127.0.0.1 | GET      "/api/auth/members"
[GIN] 2026/08/14 - 00:36:57 | 200 |  104.140125ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:36:58 | 200 |  110.981209ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:36:58 | 200 |  134.521792ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:36:58 | 200 |  153.855833ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:37:28 | 200 |   80.309958ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:28 | 200 |   88.449625ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:28 | 200 |  137.041417ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:37:28 | 200 |  134.795875ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:37:28 | 200 |  153.037875ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:37:31 | 200 |   84.019084ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:31 | 200 |   94.567625ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:31 | 200 |     124.515ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:37:31 | 200 |  129.395416ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:37:31 | 200 |  142.682292ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:37:31 | 200 |   89.132833ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:31 | 200 |  103.810583ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:37:32 | 200 |  138.474333ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:37:32 | 200 |  144.532833ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:37:48 | 200 |   89.702417ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:48 | 200 |   96.683916ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:48 | 200 |   83.112542ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:48 | 200 |   89.409959ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:48 | 200 |  109.462375ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:37:48 | 200 |  112.878625ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:37:48 | 200 |  143.229916ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:37:48 | 200 |  153.672375ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:37:49 | 200 |    179.2715ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:37:49 | 200 |  168.097458ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:37:54 | 200 |   82.209583ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:54 | 200 |   90.377166ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:37:54 | 200 |  107.266291ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:37:54 | 200 |   128.91075ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:37:54 | 200 |    158.4175ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:38:09 | 200 |   88.161042ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:09 | 200 |   84.461875ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:09 | 200 |  113.973041ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:38:09 | 200 |  130.368875ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:38:09 | 200 |  166.460041ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
2026/08/14 00:38:33 web-api listening on :8691
[GIN] 2026/08/14 - 00:38:34 | 200 |      26.833µs |       127.0.0.1 | GET      "/healthz"
[GIN] 2026/08/14 - 00:38:44 | 200 |   94.353125ms |       127.0.0.1 | GET      "/api/bizline/lines"
[GIN] 2026/08/14 - 00:38:44 | 200 |  137.600458ms |       127.0.0.1 | GET      "/api/delivery/programs?bizLine=whatsapp"
[GIN] 2026/08/14 - 00:38:44 | 200 |   95.744875ms |       127.0.0.1 | GET      "/api/delivery/programs?bizLine=xianglong"
[GIN] 2026/08/14 - 00:38:44 | 200 |   98.979791ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:45 | 200 |  172.419583ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:38:45 | 200 |  102.259959ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:45 | 200 |  211.545666ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:38:45 | 200 |  217.275542ms |       127.0.0.1 | GET      "/api/delivery/requirements?pageIndex=1&pageSize=200&programId=2&scope=mine"
[GIN] 2026/08/14 - 00:38:45 | 200 |  239.790042ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:38:45 | 200 |  115.279917ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:38:45 | 200 |  378.189542ms |       127.0.0.1 | GET      "/api/delivery/board?programId=2&groupBy=status&phase=requirement"
[GIN] 2026/08/14 - 00:38:45 | 200 |  137.185125ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:38:45 | 200 |  159.369333ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:38:45 | 200 |   97.235458ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:45 | 200 |   83.878666ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:45 | 200 |  129.476708ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:38:45 | 200 |     128.949ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:38:46 | 200 |  147.274208ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:38:48 | 200 |   83.592375ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:49 | 200 |   93.177958ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:49 | 200 |  110.516541ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:38:49 | 200 |  128.324334ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:38:49 | 200 |  158.823375ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:38:49 | 200 |   92.687208ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:49 | 200 |   95.009333ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:49 | 200 |  132.667417ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:38:49 | 200 |  137.095916ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:38:50 | 200 |  156.235208ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:38:52 | 200 |   87.355583ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:52 | 200 |  112.598792ms |       127.0.0.1 | GET      "/api/auth/members"
[GIN] 2026/08/14 - 00:38:52 | 200 |   85.854834ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:53 | 200 |  128.145833ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:38:53 | 200 |  129.291375ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:38:53 | 200 |  252.366958ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:38:58 | 200 |   82.797833ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:58 | 200 |   83.130042ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:38:59 | 200 |  186.108708ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:38:59 | 200 |  137.363625ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:38:59 | 200 |  153.317583ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:00 | 200 |    77.67075ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:01 | 200 |   87.454083ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:01 | 200 |    138.9675ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:01 | 200 |  124.849209ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:01 | 200 |  140.515708ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:01 | 200 |   98.269209ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:01 | 200 |    108.8625ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:01 | 200 |  154.763625ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:02 | 200 |    175.1955ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:05 | 200 |   82.593542ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:05 | 200 |   98.195125ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:05 | 200 |   84.341917ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:05 | 200 |   94.173583ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:05 | 200 |  102.051042ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:05 | 200 |  122.369792ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:05 | 200 |  131.696875ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:05 | 200 |  136.299459ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:05 | 200 |  176.341416ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:05 | 200 |  207.148083ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:10 | 200 |   90.440875ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:10 | 200 |  100.785167ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:11 | 200 |  178.978625ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:11 | 200 |  146.411333ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:11 | 200 |   159.33925ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:15 | 200 |      91.035ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:15 | 200 |  100.606709ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:16 | 200 |  123.480542ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:16 | 200 |  147.274333ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:16 | 200 |  181.475333ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:20 | 200 |   88.122458ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:20 | 200 |  103.733583ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:21 | 200 |  117.979917ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:21 | 200 |     137.155ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:21 | 200 |   155.45525ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:24 | 200 |    97.76025ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:25 | 200 |  104.621375ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:25 | 200 |  100.815291ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:26 | 200 |  115.235333ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:26 | 200 |  140.906083ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:26 | 200 |  189.887125ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:30 | 200 |   93.738917ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:30 | 200 |   89.811042ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:31 | 200 |  131.517292ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:31 | 200 |  186.289667ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:31 | 200 |  159.884625ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:35 | 200 |   91.302334ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:35 | 200 |   93.031959ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:36 | 200 |  113.964625ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:36 | 200 |  137.076625ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:36 | 200 |   194.99525ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:40 | 200 |   92.822625ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:40 | 200 |  109.163166ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:41 | 200 |    117.3025ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:41 | 200 |  157.785833ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:41 | 200 |  158.925084ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:45 | 200 |  102.356667ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:45 | 200 |   97.803625ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:46 | 200 |  114.166958ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:46 | 200 |  136.888917ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:46 | 200 |  156.800667ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:50 | 200 |  127.978666ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:50 | 200 |   96.300417ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:51 | 200 |   119.61725ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:51 | 200 |  157.536416ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:51 | 200 |  162.768542ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:39:55 | 200 |    90.08525ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:55 | 200 |    89.68125ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:39:56 | 200 |  113.064542ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:39:56 | 200 |    133.1045ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:39:56 | 200 |  175.096333ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:40:00 | 200 |   91.824292ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:40:00 | 200 |   92.428375ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:40:01 | 200 |   112.58475ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:40:01 | 200 |  129.878083ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
[GIN] 2026/08/14 - 00:40:01 | 200 |  165.569333ms |       127.0.0.1 | GET      "/api/delivery/items?programId=2&pageIndex=1&pageSize=200"
[GIN] 2026/08/14 - 00:40:04 | 200 |   96.582334ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:40:05 | 200 |     116.741ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:40:05 | 200 |   93.528542ms |       127.0.0.1 | GET      "/api/delivery/programs"
[GIN] 2026/08/14 - 00:40:06 | 200 |  158.719708ms |       127.0.0.1 | GET      "/api/delivery/stages?programId=2"
[GIN] 2026/08/14 - 00:40:06 | 200 |  133.714791ms |       127.0.0.1 | GET      "/api/delivery/modules?programId=2"
